0,1,2,3,4,5
State,Constituency,Leader,Party,Margin,Total Votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,BISHNU PADA RAY,Bharatiya Janata Party,24396,202514
Andhra Pradesh,Amalapuram (SC) - 7,G M HARISH (BALAYOGI),Telugu Desam,342196,1301106
Andhra Pradesh,Anakapalle - 5,C.M.RAMESH,Bharatiya Janata Party,296530,1325332
Andhra Pradesh,Ananthapur - 19,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,188555,1440428
Andhra Pradesh,Araku (ST) - 1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,50580,1164445
Andhra Pradesh,Bapatla (SC) - 15,KRISHNA PRASAD TENNETI,Telugu Desam,208031,1300745
Andhra Pradesh,Chittoor(SC) - 25,DAGGUMALLA PRASADA RAO,Telugu Desam,220479,1418857
Andhra Pradesh,Eluru - 10,PUTTA MAHESH KUMAR,Telugu Desam,181857,1382049
Andhra Pradesh,Guntur - 13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,344695,1425371
Andhra Pradesh,Hindupur - 20,B K PARTHASARATHI,Telugu Desam,132427,1416339
Andhra Pradesh,Kadapa - 21,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,62695,1321975
Andhra Pradesh,Kakinada - 6,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,229491,1329803
Andhra Pradesh,Kurnoolu - 18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,111298,1330780
Andhra Pradesh,Machilipatnam - 11,BALASHOWRY VALLABHANENI,Janasena Party,223179,1312004
Andhra Pradesh,Nandyal - 17,DR BYREDDY SHABARI,Telugu Desam,111975,1404418
Andhra Pradesh,Narsapuram - 9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,276802,1230994
Andhra Pradesh,Narsaraopet - 14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,159729,1499569
Andhra Pradesh,Nellore - 22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,245902,1375649
Andhra Pradesh,Ongole - 16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,50199,1422214
Andhra Pradesh,Rajahmundry - 8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,239139,1325297
Andhra Pradesh,Rajampet - 24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,76071,1332939
Andhra Pradesh,Srikakulam - 2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,327901,1235686
Andhra Pradesh,Thirupathi(SC) - 23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,14569,1382570
Andhra Pradesh,Vijayawada - 12,KESINENI SIVANATH (CHINNI),Telugu Desam,282085,1364405
Andhra Pradesh,Visakhapatnam - 4,SRIBHARAT MATHUKUMILI,Telugu Desam,504247,1387125
Andhra Pradesh,Vizianagaram - 3,APPALANAIDU KALISETTI,Telugu Desam,249351,1299242
Arunachal Pradesh,Arunachal East - 2,TAPIR GAO,Bharatiya Janata Party,30421,323443
Arunachal Pradesh,Arunachal West - 1,KIREN RIJIJU,Bharatiya Janata Party,100738,399804
Assam,Barpeta - 3,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,222351,1685943
Assam,Darrang-Udalguri - 4,DILIP SAIKIA,Bharatiya Janata Party,329012,1811200
Assam,Dhubri  - 2,RAKIBUL HUSSAIN,Indian National Congress,1012476,2453608
Assam,Dibrugarh - 13,SARBANANDA SONOWAL,Bharatiya Janata Party,279321,1278322
Assam,Diphu - 6,AMARSING TISSO,Bharatiya Janata Party,147603,682827
Assam,Guwahati - 5,BIJULI KALITA  MEDHI,Bharatiya Janata Party,251090,1599389
Assam,Jorhat - 14,GAURAV GOGOI,Indian National Congress,144393,1391160
Assam,Karimganj - 7,KRIPANATH MALLAH,Bharatiya Janata Party,18360,1146882
Assam,Kaziranga - 10,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,248947,1629937
Assam,Kokrajhar  - 1,JOYANTA BASUMATARY,"United People’s Party, Liberal",51583,1241496
Assam,Lakhimpur - 12,PRADAN BARUAH,Bharatiya Janata Party,201257,1211214
Assam,Nagaon - 9,PRADYUT BORDOLOI,Indian National Congress,212231,1549998
Assam,Silchar  - 8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,264311,1089426
Assam,Sonitpur - 11,RANJIT DUTTA,Bharatiya Janata Party,361408,1288468
Bihar,Araria - 9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,20094,1252560
Bihar,Arrah - 32,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),59808,1096561
Bihar,Aurangabad - 37,ABHAY KUMAR SINHA,Rashtriya Janata Dal,79111,945880
Bihar,Banka - 27,GIRIDHARI YADAV,Janata Dal  (United),103844,1014155
Bihar,Begusarai - 24,GIRIRAJ SINGH,Bharatiya Janata Party,81480,1294673
Bihar,Bhagalpur - 26,AJAY KUMAR MANDAL,Janata Dal  (United),104868,1064081
Bihar,Buxar - 33,SUDHAKAR SINGH,Rashtriya Janata Dal,30091,1073759
Bihar,Darbhanga - 14,GOPAL JEE THAKUR,Bharatiya Janata Party,178156,1024184
Bihar,Gaya - 38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),101812,963676
Bihar,Gopalganj - 17,DR. ALOK KUMAR SUMAN,Janata Dal  (United),127180,1063027
Bihar,Hajipur - 21,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),170105,1155324
Bihar,Jahanabad - 36,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,142591,925370
Bihar,Jamui - 40,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),112482,979233
Bihar,Jhanjharpur - 7,RAMPRIT MANDAL,Janata Dal  (United),184169,1093741
Bihar,Karakat - 35,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),105858,1031618
Bihar,Katihar - 11,TARIQ ANWAR,Indian National Congress,49863,1171546
Bihar,Khagaria - 25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),161131,1061894
Bihar,Kishanganj - 10,MOHAMMAD JAWED,Indian National Congress,59692,1151099
Bihar,Madhepura - 13,DINESH CHANDRA YADAV,Janata Dal  (United),174534,1209695
Bihar,Madhubani - 6,ASHOK KUMAR YADAV,Bharatiya Janata Party,151945,1027728
Bihar,Maharajganj - 19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,102651,1014109
Bihar,Munger - 28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),80870,1139081
Bihar,Muzaffarpur - 15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,234927,1112460
Bihar,Nalanda - 29,KAUSHALENDRA KUMAR,Janata Dal  (United),169114,1144383
Bihar,Nawada - 39,VIVEK THAKUR,Bharatiya Janata Party,67670,869870
Bihar,Paschim Champaran - 2,DR.SANJAY JAISWAL,Bharatiya Janata Party,136568,1086256
Bihar,Patliputra - 31,MISHA BHARTI,Rashtriya Janata Dal,85174,1230099
Bihar,Patna Sahib - 30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,153846,1075496
Bihar,Purnia - 12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,23847,1195844
Bihar,Purvi Champaran - 3,RADHA MOHAN SINGH,Bharatiya Janata Party,88287,1073688
Bihar,Samastipur - 23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),187251,1094592
Bihar,Saran - 20,RAJIV PRATAP RUDY,Bharatiya Janata Party,13661,1021508
Bihar,Sasaram - 34,MANOJ KUMAR,Indian National Congress,19157,1097075
Bihar,Sheohar - 4,LOVELY ANAND,Janata Dal  (United),29143,1055602
Bihar,Sitamarhi - 5,DEVESH CHANDRA THAKUR,Janata Dal  (United),51356,1093992
Bihar,Siwan - 18,VIJAYLAKSHMI DEVI,Janata Dal  (United),92857,998018
Bihar,Supaul - 8,DILESHWAR KAMAIT,Janata Dal  (United),169803,1231114
Bihar,Ujiarpur - 22,NITYANAND RAI,Bharatiya Janata Party,60102,1042068
Bihar,Vaishali - 16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),89634,1172060
Bihar,Valmiki Nagar  - 1,SUNIL KUMAR,Janata Dal  (United),98675,1101830
Chandigarh,Chandigarh - 1,MANISH TEWARI,Indian National Congress,2504,449275
Chhattisgarh,BASTAR - 10,MAHESH KASHYAP,Bharatiya Janata Party,55245,1007395
Chhattisgarh,BILASPUR - 5,TOKHAN SAHU,Bharatiya Janata Party,164558,1361350
Chhattisgarh,DURG - 7,VIJAY BAGHEL,Bharatiya Janata Party,438226,1542787
Chhattisgarh,JANJGIR-CHAMPA - 3,KAMLESH JANGDE,Bharatiya Janata Party,60000,1392240
Chhattisgarh,KANKER - 11,BHOJRAJ NAG,Bharatiya Janata Party,1884,1265429
Chhattisgarh,KORBA - 4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,43283,1225313
Chhattisgarh,MAHASAMUND - 9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,145456,1326080
Chhattisgarh,RAIGARH - 2,RADHESHYAM RATHIYA,Bharatiya Janata Party,240391,1452965
Chhattisgarh,RAIPUR - 8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,575285,1586755
Chhattisgarh,RAJNANDGAON - 6,SANTOSH PANDEY,Bharatiya Janata Party,44411,1445765
Chhattisgarh,SURGUJA - 1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,64822,1455269
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli - 2,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,57584,205588
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu  - 1,PATEL UMESHBHAI BABUBHAI,Independent,6225,92410
Goa,North Goa - 1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,116015,456018
Goa,South Goa - 2,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,13535,450520
Gujarat,Ahmedabad East - 7,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,461755,1128339
Gujarat,Ahmedabad West - 8,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,286437,966646
Gujarat,Amreli - 14,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,321068,876426
Gujarat,Anand - 16,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,89939,1167969
Gujarat,Banaskantha - 2,GENIBEN NAGAJI THAKOR,Indian National Congress,30406,1375903
Gujarat,Bardoli - 23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,230253,1339333
Gujarat,Bharuch - 22,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,85696,1198964
Gujarat,Bhavnagar - 15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,455289,1047232
Gujarat,Chhota Udaipur - 21,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,398777,1267719
Gujarat,Dahod - 19,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,333677,1118294
Gujarat,Gandhinagar - 6,AMIT SHAH,Bharatiya Janata Party,744716,1321802
Gujarat,Jamnagar - 12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,238008,1051235
Gujarat,Junagadh - 13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,135494,1068253
Gujarat,Kachchh - 1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,268782,1095157
Gujarat,Kheda - 17,DEVUSINH CHAUHAN,Bharatiya Janata Party,357758,1175848
Gujarat,Mahesana - 4,HARIBHAI PATEL,Bharatiya Janata Party,328046,1076827
Gujarat,Navsari - 25,C R PATIL,Bharatiya Janata Party,773551,1338216
Gujarat,Panchmahal - 18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,509342,1131497
Gujarat,Patan - 3,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,31876,1193125
Gujarat,Porbandar - 11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,383360,928977
Gujarat,Rajkot - 10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,484260,1273542
Gujarat,Sabarkantha - 5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,155682,1269358
Gujarat,Surendranagar - 9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,261617,1131377
Gujarat,Vadodara - 20,DR. HEMANG JOSHI,Bharatiya Janata Party,582126,1212149
Gujarat,Valsad - 26,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,210704,1361411
Haryana,AMBALA - 1,VARUN CHAUDHRY,Indian National Congress,49036,1346722
Haryana,BHIWANI-MAHENDRAGARH - 8,DHARAMBIR SINGH,Bharatiya Janata Party,41510,1183395
Haryana,FARIDABAD - 10,KRISHAN PAL,Bharatiya Janata Party,172914,1471322
Haryana,GURGAON - 9,RAO INDERJIT SINGH,Bharatiya Janata Party,75079,1601232
Haryana,HISAR - 4,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,63381,1174115
Haryana,KARNAL - 5,MANOHAR LAL,Bharatiya Janata Party,232577,1345892
Haryana,KURUKSHETRA - 2,NAVEEN JINDAL,Bharatiya Janata Party,29021,1205872
Haryana,ROHTAK - 7,DEEPENDER SINGH HOODA,Indian National Congress,345298,1248446
Haryana,SIRSA - 3,SELJA,Indian National Congress,268497,1354632
Haryana,SONIPAT - 6,SATPAL BRAHAMCHARI,Indian National Congress,21816,1123944
Himachal Pradesh,HAMIRPUR - 3,ANURAG SINGH THAKUR,Bharatiya Janata Party,182357,1047263
Himachal Pradesh,KANGRA - 1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,251895,1036868
Himachal Pradesh,MANDI - 2,KANGNA RANAUT,Bharatiya Janata Party,74755,1015810
Himachal Pradesh,SHIMLA - 4,Suresh Kumar Kashyap,Bharatiya Janata Party,91451,969965
Jammu and Kashmir,ANANTNAG-RAJOURI - 3,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,281794,1026148
Jammu and Kashmir,BARAMULLA - 1,ABDUL RASHID SHEIKH,Independent,204142,1033900
Jammu and Kashmir,JAMMU - 5,JUGAL KISHORE,Bharatiya Janata Party,135498,1302176
Jammu and Kashmir,SRINAGAR - 2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,188416,675242
Jammu and Kashmir,UDHAMPUR - 4,DR JITENDRA SINGH,Bharatiya Janata Party,124373,1113727
Jharkhand,Chatra - 4,KALI CHARAN SINGH,Bharatiya Janata Party,220959,1086374
Jharkhand,Dhanbad - 7,DULU MAHATO,Bharatiya Janata Party,331583,1428007
Jharkhand,Dumka - 2,NALIN SOREN,Jharkhand Mukti Morcha,22527,1184132
Jharkhand,Giridih - 6,CHANDRA PRAKASH CHOUDHARY,AJSU Party,80880,1264833
Jharkhand,Godda - 3,NISHIKANT DUBEY,Bharatiya Janata Party,101813,1398204
Jharkhand,Hazaribagh - 14,MANISH JAISWAL,Bharatiya Janata Party,276686,1264667
Jharkhand,Jamshedpur - 9,BIDYUT BARAN MAHATO,Bharatiya Janata Party,259782,1277629
Jharkhand,Khunti - 11,KALI CHARAN MUNDA,Indian National Congress,149675,936682
Jharkhand,Kodarma - 5,ANNPURNA DEVI,Bharatiya Janata Party,377014,1369964
Jharkhand,Lohardaga - 12,SUKHDEO BHAGAT,Indian National Congress,139138,967125
Jharkhand,Palamau - 13,VISHNU DAYAL RAM,Bharatiya Janata Party,288807,1390738
Jharkhand,Rajmahal - 1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,178264,1218249
Jharkhand,Ranchi - 8,SANJAY SETH,Bharatiya Janata Party,120512,1447781
Jharkhand,Singhbhum - 10,JOBA MAJHI,Jharkhand Mukti Morcha,168402,1007597
Karnataka,Bagalkot - 3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,68399,1317561
Karnataka,Bangalore central - 25,P C MOHAN,Bharatiya Janata Party,32707,1316510
Karnataka,Bangalore North - 24,SHOBHA KARANDLAJE,Bharatiya Janata Party,259476,1752504
Karnataka,Bangalore Rural - 23,DR C N MANJUNATH,Bharatiya Janata Party,269647,1919540
Karnataka,Bangalore South - 26,TEJASVI SURYA,Bharatiya Janata Party,277083,1249342
Karnataka,Belgaum - 2,JAGADISH SHETTAR,Bharatiya Janata Party,178437,1383889
Karnataka,Bellary - 9,E. TUKARAM,Indian National Congress,98992,1389914
Karnataka,Bidar - 7,SAGAR ESHWAR KHANDRE,Indian National Congress,128875,1242322
Karnataka,Bijapur - 4,RAMESH JIGAJINAGI,Bharatiya Janata Party,77229,1296114
Karnataka,Chamarajanagar - 22,SUNIL BOSE,Indian National Congress,188706,1369797
Karnataka,Chikkballapur - 27,DR.K.SUDHAKAR,Bharatiya Janata Party,163460,1530820
Karnataka,Chikkodi - 1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,90834,1393093
Karnataka,Chitradurga - 18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,48121,1366909
Karnataka,Dakshina Kannada - 17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,149208,1415770
Karnataka,Davanagere - 13,DR. PRABHA MALLIKARJUN,Indian National Congress,26094,1320368
Karnataka,Dharwad - 11,PRALHAD JOSHI,Bharatiya Janata Party,97324,1366491
Karnataka,Gulbarga - 5,RADHAKRISHNA,Indian National Congress,27205,1310477
Karnataka,Hassan - 16,SHREYAS. M. PATEL,Indian National Congress,42649,1355007
Karnataka,Haveri - 10,BASAVARAJ BOMMAI,Bharatiya Janata Party,43513,1395812
Karnataka,Kolar - 28,M. MALLESH BABU,Janata Dal  (Secular),71388,1355228
Karnataka,Koppal - 8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,46357,1328936
Karnataka,Mandya - 20,H.D. KUMARASWAMY,Janata Dal  (Secular),284620,1460267
Karnataka,Mysore - 21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,139262,1484473
Karnataka,Raichur - 6,G. KUMAR NAIK.,Indian National Congress,79781,1299619
Karnataka,Shimoga - 14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,243715,1377224
Karnataka,Tumkur - 19,V. SOMANNA,Bharatiya Janata Party,175594,1303451
